year,fips,democrat,green,nonaffiliated,republican,votetotal,percent
2000,12033,40943,1727,961,73017,116648,27.49639942
2000,12035,13897,435,166,12613,27111,4.736084984
2000,12037,2046,85,59,2454,4644,8.785529716
2000,12039,9735,139,86,4767,14727,33.73395804
2000,12041,1910,97,88,3300,5395,25.76459685
2000,12043,1442,56,26,1841,3365,11.85735513
2000,12045,2397,86,111,3550,6144,18.76627604
2000,12047,1722,37,59,2146,3964,10.6962664
2000,12049,2339,75,54,3765,6233,22.87822878
2000,12051,3240,104,48,4747,8139,18.51578818
2000,12053,32644,1501,428,30646,65219,3.063524433
2000,12055,14167,545,231,20206,35149,17.18114313
2000,12057,169557,7490,2488,180760,360295,3.109396467
2000,12059,2177,94,113,5011,7395,38.32319135
2000,12061,19768,950,269,28635,49622,17.86909032
2000,12063,6868,138,156,9138,16300,13.92638037
2000,12065,3041,76,49,2478,5644,9.975194897
2000,12067,789,26,20,1670,2505,35.16966068
2000,12069,36571,1460,570,50010,88611,15.16628861
2000,12071,73560,3587,1089,106141,184377,17.67085916
2000,12073,61427,1932,703,39062,103124,21.68748303
2000,12075,5398,284,184,6858,12724,11.47437913
2000,12077,1017,19,57,1317,2410,12.44813278
2000,12079,3014,54,56,3038,6162,0.389483934
2000,12081,49177,2491,601,57952,110221,7.961277796
2000,12083,44665,1809,1341,55141,102956,10.17522048
2000,12085,26620,1118,305,33970,62013,11.85235354
2000,12086,328808,5352,1756,289533,625449,6.279488815
2000,12087,16483,1090,264,16059,33896,1.25088506
2000,12089,6952,253,171,16404,23780,39.74768713
2000,12091,16948,985,654,52093,70680,49.72410866
2000,12093,4588,131,77,5057,9853,4.759971582
2000,12095,140220,3879,1509,134517,280125,2.035876841
2000,12097,28181,732,534,26212,55659,3.537612965
2000,12099,269732,5565,4938,152951,433186,26.95862747
2000,12101,69564,3393,1192,68582,142731,0.688007511
2000,12103,200630,10022,2995,184825,398472,3.966401654
2000,12105,75200,2059,1053,90295,168607,8.95277183
2000,12107,12102,377,296,13447,26222,5.129280757
2000,12109,19502,1217,481,39546,60746,32.99641129
2000,12111,41559,1368,357,34705,77989,8.78841888
2000,12113,12802,724,519,36274,50319,46.64639599
